Date,Coin,website,Headline,Text,Link
2018-02-09 12:03:00,Ripple,forbes,Crypto Watch: Ripple (XRP) Price Surges 21% in 10 Hours,"GERMANY, BONN - JANUARY 31: Symbol photo on the topics crypto currency, digital currency, currency speculation, course gains, course losses, money laundering, crime. etc. The picture shows Ripple coins and a Bitcoin (physical). (Photo by Ulrich Baumgarten via Getty Images) Ripple solidifies #3 cryptocurrency spot with a $35.7B market cap. [Ed note: Investing in cryptocoins or tokens is highly speculative and the market is largely unregulated. Anyone considering it should be prepared to lose their entire investment.] After a general trend of consolidation in the worldwide cryptocurrency market—following drops in the Dow Jones industrial average, Facebook banning cryptocurrency advertising, news of Chinese and South Korean regulation, India pushing toward a crackdown and news of Tether and Bitfinex subpoenas—the market cap is beginning to inch back up after January's lows. One coin in particular made big leaps overnight (PST): Ripple (XRP). Disclosure: I own some Ripple.  According to CoinMarketCap, Ripple was trading for $0.771540 USD at 9:19pm PST Feb. 8. By 6:44am on Feb. 9, that number was $0.931411—a jump of 21 percent in just 10 hours. 
 Ripple 24-hour trading chart The price is currently $0.916888, 21 percent higher than it was a day ago. This performance is 2-4x higher than other major cryptocurrencies such as Bitcoin, Ethereum, Bitcoin Cash, Litecoin, and Cardano.Continued from page 1 After exhibiting unprecedented growth in December 2017, Ripple then became the worst-performing major coin of January, performing at -49.56 percent. The recent surge follows announcements of partnerships with IDT, Mercury FX, MoneyGram and Santander as well as an ""open payments corridor"" to China via LianLian Yintong Electronic Payment Company. Furthering its position in Asia, SBI announced the creation SBI Virtual Currencies on Jan. 30, an exchange that will help Asian markets bridge the gap from fiat to crypto. Ripple still has a long way to go to reclaim its #2 spot on the cryptocurrency market, as Ethereum is holding strong with $83.3B—more than double Ripple's current market cap. Editor’s Note & Disclosure: The author invests in cryptocurrency markets. Neither the author nor Forbes endorses participation in any token sale or cryptocurrency investment, all of which have significant inherent risk. Seek advice from a financial advisor as well as do your own due diligence before considering investment. Jesse Damiani is Editor-at-Large of VRScout, Series Editor of Best American Experimental Writing, and CEO of Galatea, a screenwriting and project management tool for AR and VR stories.",https://www.forbes.com/sites/jessedamiani/2018/02/09/crypto-watch-ripple-xrp-price-surges-21-in-10-hours/
2018-02-07 04:45:00,Ripple,forbes,Mellon Banking Heir's New Crypto Fortune: Almost $1B In Ripple's XRP,"
	This story appears in the February 28, 2018 issue of Forbes.
	Subscribe
 Matthew Mellon Individual Investor Crypto Net Worth: $900 million-$1 billion* Matthew Mellon This heir to one of America's great banking fortunes, and a former chair of the New York Republican Party's finance committee, has struggled with drug addiction. So when he began dabbling heavily in cryptocurrencies years ago, his friends and family tried to dissuade him, figuring it was another erratic obsession. And, indeed, he abandoned some early investments and sold his Bitcoin a few years ago. 
 But then Mellon got turned on to XRP, spending some $2 million to acquire coins, which he liked because it's one of the few cryptocurrencies that are working within the banking system. ""Crypto is scary and dark. It's anti-America,"" says Mellon, 54. ""I am pro-America, pro-business and pro-bank. That's why I went with Ripple."" Mellon's XRP is worth around $1 billion. Recently divorced, he parties in a posh Los Angeles house he rents for $150,000 month. ""It's $1 billion virtually for free. I actually have earned it because I was the only person who was willing to raise his hand,"" says Mellon. ""My family thought I was insane, when I knew it was a home run."" *All cryptocurrency/U.S. dollar conversions are as of January 19, 2018. Read More: Introducing Forbes’ First-Ever List Of Cryptocurrency’s Richest People
	This story appears in the February 28, 2018 issue of Forbes.
	Subscribe
 Continued from page 1 Why Forbes Created Its Cryptocurrency Rich List Full List Of Cryptocurrency’s Wealthiest People  An Intrepid Investor's Guide To Buying Bitcoin And Other Crypto Assets",https://www.forbes.com/sites/nathanvardi/2018/02/07/matthew-mellon-xrp-ether-crypto-cryptocurrency/
2018-01-02 08:00:00,Ripple,forbes,Meet The Crypto Billionaires Getting Rich From Ripple's XRP,"The value of cryptocurrencies skyrocketed in 2017 to more than $600 billion, minting scores of crypto millionaires.  A few lucky holders are also breathing the rarefied air of the billionaires club — and not just in the most valuable cryptocurrency Bitcoin, which has a market capitalization of $237 billion. Two billionaires who now easily rank among the wealthiest Americans include the current and former CEOs of Ripple, a San Francisco-based company using blockchain technology in international financial transactions. It issues a token called XRP that, as of Monday, January 1, had a market capitalization of $88.9 billion; each XRP was trading at $2.39, according to Coinmarketcap. Just the week before, Ripple had surpassed Ethereum to become the second-most-valuable crypto asset. Cofounder and former CEO Chris Larsen, who stepped down in November 2016 and now serves as executive chairman of Ripple, has 5.19 billion XRP in his personal holdings and a 17% stake in the company, according to sources at Ripple. That gives him a net worth of $37.3 billion, using Monday’s exchange rate. 
 Chris Larsen, Ripple cofounder, executive chairman and former CEO That would make him the 15th richest American on the 2017 Forbes 400 list as of Monday, tying him with Steve Ballmer, the former Microsoft CEO and current owner of the NBA’s Los Angeles Clippers. He ranks a bit ahead of Abigail Johnson, the CEO of Fidelity, who is herself a big cryptocurrency fan, plus  hedge funder Ray Dalio and investor Carl Icahn, both of whom have made headlines for calling Bitcoin a bubble.  Current Ripple CEO Brad Garlinghouse owns a 6.3% stake in Ripple, according to a source at the company, and owns additional XRP tokens. He has a net worth of at least $9.5 billion. That would land him at around 54 on the list, with the addition of Larsen, just two slots below Charles Schwab. Brad Garlinghouse, chief executive officer of Ripple XRP skyrocketed in 2017 from $0.006 on January 1 to $2.30 on December 31 — a return of 38,000%.  A third person who’s gotten rich on XRP is Ripple cofounder Jed McCaleb, who left the company in 2013 and later came to an agreement with Ripple over the XRP he owns. McCaleb said he donated 2 billion XRP to a donor-advised fund. The remaining 5.3 billion XRP as of February 2016 are in a custody account at Ripple and are meted out to him on a monthly basis. Since the agreement was reached, he has been allowed to sell less than 1% of average daily volume on one exchange that now itself accounts for only 1%-2% of all XRP trading volume. If McCaleb had access to all of the XRP at once, he would be a billionaire.  (Additionally, McCaleb, who founded Mt. Gox in 2010, says he has no Bitcoins left, having sold them to found Ripple. Since leaving Ripple, he has since gone on to found Stellar, but his one billion Lumens, each valued at 48 cents, do not make him a billionaire and won’t vest for a couple years.) Ripple says it has more than 100 customers, such as American Express and Santander, who are collaborating on U.S-to-U.K. payments using Ripple technology.  XRP, being issued by a company, is less decentralized than many other cryptocurrencies. For instance, Ripple itself holds 61.3 billion XRP, including 55 billion that it keeps in escrow. Only 38.7 billion XRP tokens have been distributed. In contrast, Bitcoin is much less concentrated, though many early holders have a large number of coins. Satoshi Nakamoto, the mysterious creator of Bitcoin, is believed to own the largest amount, with estimated holdings of 980,000 Bitcoins ($13.4 billion by Monday's Bitcoin price). That represents only 5.8% of all Bitcoins currently in existence. One thing is very clear: the huge swings in the value of Ripple, Bitcoin and other cryptocurrencies mean that there is no guarantee that any of these folks will still be billionaires when Forbes publishes its next list in March. I'm a senior editor covering crypto assets and host the crypto/blockchain podcast, Unchained (Google Play, iHeartRadio, iTunes, Stitcher, TuneIn). Follow me at @laurashin.",https://www.forbes.com/sites/laurashin/2018/01/02/meet-the-crypto-billionaires-getting-rich-from-ripples-xrp/
2018-01-14 11:46:00,Ripple,forbes,3 Reasons To Not Get Excited About Seagate's Investment In Ripple/XRP,"In May 2015, Seagate made an investment in Ripple Labs, which created the XRP cryptocurrency. Many tech companies make strategic investments so that they can gain access to technologies, which they believe could be useful for their business or in areas they want to explore. At the time one Ripple or XRP was worth less than a penny vs. the $1.83 it is currently trading. [Ed note: Investing in cryptocoins or tokens is highly speculative and the market is largely unregulated. Anyone considering it should be prepared to lose their entire investment.] A visual representation of the digital Cryptocurrency Bitcoin. (Photo by Dan Kitwood/Getty Images) On Monday morning this past week, a Seeking Alpha article postulated that Seagate’s investment in Ripple could be worth close to $8 billion or half of the company’s market cap. When the stock opened for trading, it spiked up from the previous Friday’s close of $42.94 to $49.70, up 19%. It fell back during the day but still closed up 7% at $46.00. After the market closed on Monday, Seagate positively preannounced its December quarter results. However, it appears that investors were expecting strong results as the stock was up less than 1% on Tuesday and closed at $46.39. For the week, it did increase over $8 or 19%. While the positive pre-announcement and the stock market strength probably contributed to the rise, it appears the Seeking Alpha article also helped. 
 Investment is worth about $1 billion (at current pricing) In reading through three analysts reports, it appears that Seagate’s investment in Ripple is significantly less than what was calculated in the Seeking Alpha article. RBC’s Seagate analyst Amit Daryanani talked with the company’s management and based on their discussion he believes it owns a 2%-3% stake in Ripple through its participation in the Series A and B rounds in 2015 and 2016. Ripple in turn owns about 60% of the actual XRP tokens. At the current market cap of $71 billion (XRP tokens are currently at $1.83), a 2.5% ownership of Ripple Labs, which controls 60% of the tokens, is worth just over $1 billion. This in turn is about 7% of Seagate’s market cap.  Cryptocurrencies are very volatile Three months ago, Ripple’s XRP price was $0.26, which translated to a $10 billion market cap. On Monday, its price ranged from $1.93 to $2.78 per Yahoo! Finance, which means its market cap had about a $33 BILLION market cap swing in 1 DAY.Continued from page 1 If Ripple was to unload a large percentage of its XRP holdings, it would almost assuredly crash the value of the tokens which would decrease the value of Seagate’s investment. Don’t count your chickens before they hatch Seagate’s investment is in Ripple Labs, which owns about 60% of the XRP token. This isn’t the same as owning a lot of cryptocurrency that can be liquidated. This could be a very nice windfall for Seagate but unless Ripple Labs sells the tokens and distributes the cash, it could be hard for Seagate to monetize this investment. This then means the investment’s value should be discounted to less than $1 billion. You can check out my other Forbes articles, “9 Reasons Bitcoin Could Hit $100,000 Or More” and “Kodak And Long Island Ice Tea Embracing Blockchain Is Just Like Dot Com In 1999. It Didn’t End Well,” regarding digital currencies. Follow me on Twitter @sandhillinsight, find my other Forbes posts here or join the LinkedIn group Apple Independent Research to get real-time posts.  ",https://www.forbes.com/sites/chuckjones/2018/01/14/3-reasons-to-not-get-excited-about-seagates-investment-in-ripplexrp/
2018-01-26 13:01:00,Ripple,forbes,Ripple Drops More Than 30% In A Week As Hype Fades,"Sentiment caused XRP to decline 30% in one week. Shutterstock Ripple's XRP token fell more than 30% in the space of a week, pushing lower as sentiment-driven trading fueled a sell-off in the digital token. XRP fell to as little as $1.18 earlier today, CoinMarketCap figures show. At this price, the digital token was down roughly 30.6% from the price of $1.70 it hit last Friday and approximately 69% below the all-time high of $3.84 reached earlier this month, additional CoinMarketCap data reveals. The digital token had recovered somewhat at the time of report, trading at $1.25. [Ed note: Investing in cryptocoins or tokens is highly speculative and the market is largely unregulated. Anyone considering it should be prepared to lose their entire investment.] 
 A 'Tell Tale Sign' While Ripple announced new partnerships on Wednesday, January 24, markets did not react, meaning that the positive news did not provoke any significant change in price. Charles Thorngren, CEO of Noble Alternative Investments, described this as a ""tell tale sign of sentimental trading.""  ""Any other coin would have surged on the news of Partnerships,"" he emphasized, adding that ""XRP is making international payments and foreign exchange transactions easy and at a discount on its XRapid platform.""  Widespread Speculation Marouane Garcon, managing director of Amulet, a crypto-to-crypto derivatives platform that focuses on customer success and usability, commented on all the speculation surrounding XRP. ""Investors were accumulating at the lower levels in anticipation of another run,"" said Garcon.  ""There are still a lot of quasi believers in XRP and this price fluctuation is a prime example of that,"" he added. Iqbal Gandham, U.K. managing director for eToro, offered a similar point of view. ""It's purely a general market sentiment combined with a knowledge that ripple was much higher a few weeks ago and looks cheap,"" he said. ""Money comes in, but when a good bull run does not occur people panic on bad general news."" Ripple's Bright Future Regardless of what XRP does in the short-term, several analysts were optimistic about Ripple's future in the long-term. ""I still believe Ripple has a strong future among mainstream traders who take investment cues"" from major media outlets, said Jeff Koyen, CEO of 360 Blockchain USA.  ""Ripple continues to increase it platform use and that will add value to coin,"" stated Thorngren. ""With Ripple being the fastest and most cost efficient of the digital platforms it is no wonder why MoneyGram, IDT Corp and Mercury FX have aligned themselves here.""  As a result of all this, ""Serious Investors should take advantage of the prices here while they can,"" stated Thorngren.  Garcon, however, offered a different point of view, stating that many market observers are skeptical. ""People want adoption,"" he said. ""People want earth shattering news.   ""XRP will continue to float between $1-$2 until they deliver earth shaking news,"" stated Garcon.  Disclosure: I own some Bitcoin, Bitcoin Cash and Ether.",https://www.forbes.com/sites/cbovaird/2018/01/26/ripple-drops-more-than-30-in-a-week-as-hype-fades/
2017-12-20 10:27:00,Ripple,forbes,The Bear Case For XRP: Bitcoin Futures Edition,"Miguel Vias, head of XRP markets at Ripple Labs Inc., speaks during the Consensus: Invest event in New York, U.S., on Tuesday, Nov. 28, 2017. Consensus: Invest, the world's first digital asset investor outlook event hosted by CoinDesk, brings institutional investors, hedge funds, money managers, banks, and family offices together to get connected with how to invest, store, trade and judge value in this new asset class. Photographer: Michael Nagle/Bloomberg In August, the hedge I cofounded, Multicoin Capital, published an analysis of XRP, the native token of the Ripple network. We presented a bearish view of XRP tokens. A quick summary: Ripple, Inc. — the company that builds and maintains the Ripple network — has built a blockchain-based system that banks use to issue IOUs and settle debts. XRP has two uses: to pay fees on the Ripple network, and as a “bridge currency” for value transfers between any two institutions that don’t have a trusted relationship. However, its native token, XRP, is simply not necessary for the network to function. Since the Ripple network is permissioned as a direct result of its unique node list (UNL) system, the risk of rational actors spamming the network is low. It’s unlikely that JP Morgan would spam Bank of America, or that Hana Group of South Korea would spam Fidelity. Even if these institutions don’t trust one another, they still want to conduct business with one another. Spamming other banks just doesn’t make any sense. 
 The other intended use for XRP is to act as a “bridge currency:” If a scenario arises in which two financial institutions need to settle IOUs in local currencies, how does the debtor acquire the local currency of the creditor? Many currency pairs simply don’t exhibit substantial trading volume, for example, Kenyan dollars to South Korean won. Although most currency pairs are not substantial by volume relative to USD-Euro, the combination of long tails of currency pairs grows factorially, as a function of n!. Given that there are 180 fiat currencies around the world, there are about 16,000 currency pairs. Today, this problem is usually solved by using a market maker which provides liquidity in each currency to USD because USD is the global reserve currency. Ripple, Inc. proposes that financial institutions solve this problem using the Ripple network and XRP instead of the legacy banking infrastructure and USD. The Ripple network is superior as payment rail system relative to the legacy financial infrastructure. However, it just doesn’t make sense that rational financial institutions will voluntarily use XRP as a reserve currency to settle transactions because XRP will always be -- by definition -- less liquid than a global reserve such as Bitcoin. Regardless of the quality of the underlying technological infrastructure, the single most important attribute of a global reserve currency is liquidity. This is why USD reigns supreme: the largest economy in the world by definition has the largest amount of liquidity for most currency pairs. Given XRP’s continued meteoric rise over the last 3-4 months, we decided to revisit our original thesis. In the last month, we’ve spoken with blockchain leads at major international remittance companies, traditional asset management firms, commercial banks, and investment banks. The individuals we spoke with have all evaluated Ripple’s solution and XRP. All of them used the system in some capacity, and all of them independently came to the same conclusion: if their institution were to ever come to use the Ripple network to settle transactions -- which they deemed unlikely -- they would want to use the global reserve currency for settlements, and not XRP. The global reserve currency is far more likely to be BTC, Bitcoin Cash (BCH), or Ether (ETH) because these are permissionless financial systems and experience significant native demand from consumers and businesses all over the world. It simply doesn’t make any sense that XRP -- as a permissioned currency that only banks can access in substantial quantities -- will ever have more liquidity than a global reserve that’s used by billions of people. The magnitude of the liquidity discrepancy between currency pairs is enormous. Over the last 30 days, the average daily volume for BTC was just shy of $10 billion, and for XRP was about $500 million. This gap is likely to grow as BTC becomes a global, censorship-resistant, store of value.Miguel Vias, head of XRP markets at Ripple Labs Inc., speaks during the Consensus: Invest event in New York, U.S., on Tuesday, Nov. 28, 2017. Consensus: Invest, the world's first digital asset investor outlook event hosted by CoinDesk, brings institutional investors, hedge funds, money managers, banks, and family offices together to get connected with how to invest, store, trade and judge value in this new asset class. Photographer: Michael Nagle/Bloomberg In August, the hedge I cofounded, Multicoin Capital, published an analysis of XRP, the native token of the Ripple network. We presented a bearish view of XRP tokens. A quick summary: Ripple, Inc. — the company that builds and maintains the Ripple network — has built a blockchain-based system that banks use to issue IOUs and settle debts. XRP has two uses: to pay fees on the Ripple network, and as a “bridge currency” for value transfers between any two institutions that don’t have a trusted relationship. However, its native token, XRP, is simply not necessary for the network to function. Since the Ripple network is permissioned as a direct result of its unique node list (UNL) system, the risk of rational actors spamming the network is low. It’s unlikely that JP Morgan would spam Bank of America, or that Hana Group of South Korea would spam Fidelity. Even if these institutions don’t trust one another, they still want to conduct business with one another. Spamming other banks just doesn’t make any sense. 
 The other intended use for XRP is to act as a “bridge currency:” If a scenario arises in which two financial institutions need to settle IOUs in local currencies, how does the debtor acquire the local currency of the creditor? Many currency pairs simply don’t exhibit substantial trading volume, for example, Kenyan dollars to South Korean won. Although most currency pairs are not substantial by volume relative to USD-Euro, the combination of long tails of currency pairs grows factorially, as a function of n!. Given that there are 180 fiat currencies around the world, there are about 16,000 currency pairs. Today, this problem is usually solved by using a market maker which provides liquidity in each currency to USD because USD is the global reserve currency. Ripple, Inc. proposes that financial institutions solve this problem using the Ripple network and XRP instead of the legacy banking infrastructure and USD. The Ripple network is superior as payment rail system relative to the legacy financial infrastructure. However, it just doesn’t make sense that rational financial institutions will voluntarily use XRP as a reserve currency to settle transactions because XRP will always be -- by definition -- less liquid than a global reserve such as Bitcoin. Regardless of the quality of the underlying technological infrastructure, the single most important attribute of a global reserve currency is liquidity. This is why USD reigns supreme: the largest economy in the world by definition has the largest amount of liquidity for most currency pairs. Given XRP’s continued meteoric rise over the last 3-4 months, we decided to revisit our original thesis. In the last month, we’ve spoken with blockchain leads at major international remittance companies, traditional asset management firms, commercial banks, and investment banks. The individuals we spoke with have all evaluated Ripple’s solution and XRP. All of them used the system in some capacity, and all of them independently came to the same conclusion: if their institution were to ever come to use the Ripple network to settle transactions -- which they deemed unlikely -- they would want to use the global reserve currency for settlements, and not XRP. The global reserve currency is far more likely to be BTC, Bitcoin Cash (BCH), or Ether (ETH) because these are permissionless financial systems and experience significant native demand from consumers and businesses all over the world. It simply doesn’t make any sense that XRP -- as a permissioned currency that only banks can access in substantial quantities -- will ever have more liquidity than a global reserve that’s used by billions of people. The magnitude of the liquidity discrepancy between currency pairs is enormous. Over the last 30 days, the average daily volume for BTC was just shy of $10 billion, and for XRP was about $500 million. This gap is likely to grow as BTC becomes a global, censorship-resistant, store of value. Ripple Inc. is aware of this problem: they recently launched a liquidity program. Since Ripple Inc. owns about 2/3 of total XRP supply – with an implied valuation of $45-50 billion based on current spot prices – they are deliberately discounting their service at a significant rate to entice their customers to use XRP rather than BTC. This artificial liquidity is just - artificial. It will run out. This will maintain a floor of liquidity for XRP in the short term, but there’s just no way for this program to provide the liquidity necessary to exceed that of the global reserve. Unfortunately for XRP holders, the probability of XRP becoming the global reserve just became substantially more difficult. The CBOE and CME -- two of the world’s largest futures exchanges -- just launched Bitcoin futures trading. The magnitude of this development cannot be overstated. This hinders XRP’s chances of becoming the global reserve currency. For large financial institutions, the single largest problem with cryptocurrencies, other than perhaps custodianship, is price volatility. Futures can be used to hedge price risk. In the next few months, as these futures markets mature, banks will be able to buy and hold billions of dollars worth of BTC on their balance sheets while hedging out price risk. Given this, why would any rational financial institution want to use XRP as the bridge currency to settle transactions? BTC now has two huge advantages: ~20x the liquidity, and a futures market that allows banks to hedge price risk while holding large amounts of BTC. XRP bulls counter that XRP offers faster settlements times and lower fees than BTC. This is true, but irrelevant. The value of liquidity and ability to hedge price risk are far more important than these two relatively insignificant technology details. So why does XRP keep pumping? The team is one of the best in crypto. The venture capital investors backing Ripple Inc. are top notch. They continue to announce new banking partners. I fully expect these banks to use Ripple’s software, and experiment with XRP. But... We maintain our position: in the long run, we’re bearish on XRP. We simply don’t see any series of events that can occur that would cause financial institutions to voluntarily adopt XRP over the global reserve. Having said that, given the state of crypto markets today, XRP could keep pumping. There’s really not a good objective valuation model for XRP given the intrinsic velocity problem that it faces, so it could 5x before our thesis is reflected in XRP price movements. “In the short term, the market is a voting machine; in the long term, it’s a weighing machine.” - Warren Buffett Update 12/21/2017 at 12:53 US Central Time: This article originally misstated the number of currency pairs globally. It is about 16,000, not an astronomical number as originally reported. I'm a prolific writer in the crypto space. Follow me on Twitter @kylesamani and subscribe to Multicoin's free research for some of the best insights in crypto. I'm a serial technology entrepreneur from Austin, TX, and a cofounder and Managing Partner of Multicoin Capital, a thesis-driven cryptofund that invests in tokens reshaping whole sectors of the economy. I spend most of my time reviewing protocol design, crypto-economics, div...",https://www.forbes.com/sites/ksamani/2017/12/20/the-bear-case-for-xrp-bitcoin-futures-edition/
2018-01-16 12:13:00,Ripple,forbes,Ripple Has Dropped More Than 65% From Record High,"Ripple has fallen more than 65% from its all-time high. Shutterstock Ripple's XRP token fell sharply today, extending its recent losses as cryptocurrencies suffered widespread declines. The XRP token fell to as little as $1.23, according to CoinMarketCap. At this price, it was down 33% in the last 24 hours and roughly 68% from its all-time high of $3.84, additional CoinMarketCap.  This took place as the broader digital currency market experienced a notable correction, falling below $600 billion for the first time since January 1. [Ed note: Investing in cryptocoins or tokens is highly speculative and the market is largely unregulated. Anyone considering it should be prepared to lose their entire investment.] When explaining this recent pullback, analysts singled out a handful of factors. 
 Natural Retracement Digital currencies have had a very strong run over the last few years. Since the start of 2017, their total market capitalization (market cap) has climbed more than 4,500%, rising from roughly $17.7 billion to more than $835 billion earlier this month according to CoinMarketCap. ""The recent decline in cryptos seems to be a simple retracement after the fantastic run we've been having,"" said Mati Greenspan, senior market analyst for social trading platform eToro.  Arthur Hayes, co-founder and CEO of Seychelles-based cryptocurrency exchange BitMEX, provided similar input, stating that ""This is a natural price correction.""  Regulatory Uncertainty Analysts also singled out regulatory uncertainty as having an adverse effect on market sentiment and therefore helping fuel losses in cryptocurrencies. Many market observers are watching South Korea, which is currently contemplating a ban on digital currency trading, according to The Associated Press (AP). Earlier today, the nation's finance minister told a local radio station that shutting down all cryptocurrency exchanges was certainly an option, although any such action would require thorough review, AP reported. Hayes spoke to the regulatory uncertainty that surrounds digital currency activities in South Korea and other jurisdictions, stating that the resulting ""FUD"" is affecting profit taking. Charles Hayter, co-founder and CEO of data provider CryptoCompare, provided similar input. ""South Korea is one bug bear to most cryptos positive momentum,"" he said.  ""The uncertainty is making most pull back!"" Disclosure: I own some Bitcoin, Bitcoin Cash and Ether.",https://www.forbes.com/sites/cbovaird/2018/01/16/ripple-has-dropped-more-than-65-from-record-high/
2017-12-21 13:28:00,Ripple,forbes,Crypto Watch: Another Big Day For Ripple -- XRP Price Jumps 64% In 17 Hours,"Shutterstock Ripple inches closer to Bitcoin Cash (BCH), holding #4 spot with a market cap of $43B. [Ed note: Investing in cryptocoins or tokens is highly speculative and the market is largely unregulated. Anyone considering it should be prepared to lose their entire investment.] A little over a week ago, Ripple made explosive gains, surging 84% in a day to become the #4 cryptocurrency by market cap. Disclosure: I own some XRP. In the days following, Ripple underwent another round of growth, jumping from the $0.50 range to $0.75. After that, disregarding minor fluctuations, the XRP market remained steady—even through Coinbase's announcement that Bitcoin Cash (BCH) buying, selling, and trading would be supported on the platform—which dropped the price of Bitcoin (BTC) and many other cryptocurrencies worldwide. 
 According to CoinMarketCap, at 2:24pm Dec. 20, XRP was trading at $0.75779. This morning at 7:04am (Dec. 21), the price was $1.24—marking growth of 64 percent in just 17 hours, and crossing the ""historic"" $1 milestone. The price is currently $1.11.   What you need to know about Ripple (XRP) Ripple operates as a payment network called RippleNet. The goal of the platform is to streamline the transfer of funds—to almost any other currency or cryptocurrency in the world in 4 seconds. Ripple works with banks and financial institutions such as AMEX and the Japan Bank Consortium to become the premier cryptocurrency of record, offering a quick, cost-effective way to transfer funds globally.Continued from page 1 This has huge implications for how we move money across borders. Imagine if you could send money to a friend in another country without having to make any currency conversion—this is one of the key value propositions of XRP. For more information about Ripple and its recent growth, see: Ripple Price Surges 84% In A Day To New Record High. Is XRP The Next Crypto Rocket 'To The Moon'? Editor’s Note & Disclosure: The author invests in cryptocurrency markets. Neither the author nor Forbes endorses participation in any token sale or cryptocurrency investment, all of which have significant inherent risk. Seek advice from a financial advisor as well as do your own due diligence before considering investment. Jesse Damiani is Editor-at-Large of VRScout, Series Editor of Best American Experimental Writing, and CEO of Galatea, a screenwriting and project management tool for AR and VR stories.",https://www.forbes.com/sites/jessedamiani/2017/12/21/crypto-watch-another-big-day-for-ripple-xrp-price-jumps-64-in-17-hours/
2018-01-10 11:05:00,Ripple,forbes,"Ripple Falls Below $1.75, Down 55% From High","XRP dropped below $1.75 today. Shutterstock Ripple's XRP token extended its losses today, dropping to less than $1.75. The digital currency fell to as little as $1.72, according to CoinMarketCap.  This recent low represented a 55% decline from the all-time high of $3.84 reached last week, additional CoinMarketCap figures show. [Ed note: Investing in cryptocoins or tokens is highly speculative and the market is largely unregulated. Anyone considering it should be prepared to lose their entire investment.] The digital asset suffered this pullback after experiencing an astronomical gain where it climbed more than 30,000% in 2017. XRP prices experienced further gains early this year, approaching $4 as the digital currency benefited from significant hype. 
 XRP Became ""Overvalued,"" Says Analyst The cryptocurrency's recent pullback took place because the digital asset was ""overvalued,"" said Joe DiPasquale, CEO of cryptocurrency fund of hedge funds BitBull Capital. ""Its price initially spiked because sentiment was high; there were rumors of additional deals with big banks and its token, XRP, being listed on Coinbase,"" he said.  ""When those didn't materialize, sentiment turned, and investors started dumping after it hit $3,"" stated DiPasquale.  Chris Keshian, co-founder of the Apex Token Fund, a tokenized crypto fund-of-funds, offered similar sentiment.  ""XRP was trading at high prices due to the recent news announcements around Ripple's banking partnerships,"" but once the resulting hype began to fade, the cryptocurrency dropped sharply.  Cyclical Price Movements Digital currency trader Marius Rupsys described XRP's pullback differently, emphasizing that ""cryptocurrencies move in cycles,"" and stating that ""Ripple tends to increase in price to very high levels and then just go down for extended period of time.""  Rupsys pointed to a broader correction, stating that ""Not only Ripple but many other cryptocurrencies are going down for the past days.""  Iqbal Gandham, U.K. managing director at eToro, gave a similar point of view, stating that Ripple's recent price decline is ""all part of the general correction,"" stating that XRP is suffering a little more than other currencies because it climbed so sharply.  ""Projects that got high valuations, like Ripple (10x in a month) can't sustain this growth as it is not driven by fundamentals, but rather speculation,"" concluded Rupsys.  Disclosure: I own some Bitcoin, Bitcoin Cash and Ether.",https://www.forbes.com/sites/cbovaird/2018/01/10/ripple-falls-below-1-75-down-55-from-high/
2018-01-16 18:53:00,Ripple,forbes,"Ripple Falls Below $1, Down 75% From All-Time High","Ripple's XRP declined below $1. Shutterstock Ripple's XRP token extended its recent losses today, dropping below $1 as the broader crypto markets saw quite a bit of red. As a result of this downward movement, the XRP token fell to as little as $0.9093, a more than 75% decrease from the digital asset's all-time high, according to CoinMarketCap. [Ed note: Investing in cryptocoins or tokens is highly speculative and the market is largely unregulated. Anyone considering it should be prepared to lose their entire investment.] The digital token fell to this level during a day when the total value of the cryptocurrency markets fall to roughly $450.5 billion, a nearly 35% drop since the start of the day, additional CoinMarketCap figures show. Regulatory Uncertainty This sharp decline was largely attributed to regulatory uncertainty. 
 ""The market is correcting off the back of news that China is moving to crack down on cryptocurrency trading,"" said Iqbal Gandham, UK managing director for eToro.  ""Chinese investors are likely spooked having heard the news and the market is on edge as a result.""  Other analysts pointed to continued uncertainty in South Korea. While digital currencies in general suffered sharp declines, Ripple's XRP fell even more. Ripple's Speculation-Fueled Rise When explaining Ripple's underperformance, analysts emphasized that its recent run up was fueled largely by investors who were hoping the digital token would experience further gains. ""XRP has fallen so hard because much of its rise was based on speculation,"" said Marouane Garcon, managing director of Amulet, a crypto-to-crypto derivatives platform that focuses on customer success and usability. He added that: You couldn’t turn on your TV last week and not hear about XRP or its CEO. Then there was the huge buy orders in anticipation of it being listed on Coinbase. Once Coinbase said they weren't adding any new assets the pullback started. Now everyone is continuing to take profits. Milan Koch, managing partner at alphablock, a crypto-asset hedge fund focused on ICOs, offered similar sentiment, asserting that XRP was highly overvalued, and it has been plunging lately because its price was driven up so much by speculation.  ""In general, Ripple has been seeing increased action due to day traders,"" said Charles Thorngren, CEO of Noble Alternative Investments.  ""Day traders looking to speculate will purchase the lesser valued investment, in this case Ripple, in order to try and leverage it for maximized profits,"" he added.  ""Therefore, lower valued assets are going to have bigger dips and bigger gains.""  Disclosure: I own some Bitcoin, Bitcoin Cash and Ether. ",https://www.forbes.com/sites/cbovaird/2018/01/16/ripple-falls-below-1-down-75-from-all-time-high/
