Coin,XRP,XRP,XRP,XRP,XRP,XRP,BTC,BTC,BTC,BTC,BTC,BTC,ETH,ETH,ETH,ETH,ETH,ETH
,Change %,High,Low,Open,Price,Vol.,Change %,High,Low,Open,Price,Vol.,Change %,High,Low,Open,Price,Vol.
Date,,,,,,,,,,,,,,,,,,
2017-08-01,9.57%,0.185,0.1585,0.163,0.1786,26.82M,-4.37%,2901.60,2615.80,2854.30,2731.20,42.31K,12.53%,232.59,200.80,200.81,225.97,352.31K
2017-08-02,-4.59%,0.18,0.168,0.1786,0.1704,11.47M,-1.07%,2757.80,2640.00,2733.80,2702.00,23.76K,-3.53%,229.70,215.00,225.97,218.00,159.47K
2017-08-03,2.46%,0.1772,0.1688,0.1704,0.1746,4.59M,3.27%,2813.00,2698.00,2702.00,2790.30,16.86K,3.11%,228.20,217.07,218.00,224.79,96.19K
2017-08-04,-0.57%,0.178,0.171,0.1746,0.1736,7.21M,2.50%,2874.80,2762.60,2790.30,2860.00,18.99K,-1.81%,228.30,218.66,224.79,220.73,83.46K
2017-08-05,5.99%,0.192,0.171,0.1736,0.184,20.38M,13.86%,3331.90,2855.00,2860.00,3256.40,50.56K,15.01%,259.90,219.23,220.73,253.87,234.87K
2017-08-06,-2.01%,0.1898,0.1765,0.184,0.1803,12.15M,-0.88%,3309.80,3156.00,3255.00,3227.90,16.95K,4.10%,271.50,251.00,253.87,264.29,209.86K
2017-08-07,-0.72%,0.183,0.1763,0.1803,0.179,10.48M,5.23%,3440.00,3190.00,3232.50,3396.70,24.54K,1.98%,274.60,257.32,264.29,269.51,146.17K
2017-08-08,9.44%,0.2,0.1768,0.179,0.1959,31.91M,0.54%,3482.90,3343.80,3395.00,3415.00,31.72K,9.77%,299.50,265.00,269.51,295.83,207.56K
2017-08-09,-6.38%,0.1959,0.18,0.1959,0.1834,13.38M,-2.20%,3424.40,3236.80,3415.00,3339.90,26.25K,-0.62%,316.00,277.00,295.83,293.99,400.20K
2017-08-10,-1.42%,0.185,0.177,0.1834,0.1808,11.26M,2.04%,3444.40,3310.00,3340.20,3407.90,19.13K,0.67%,310.05,287.60,293.99,295.97,155.41K
2017-08-11,-1.83%,0.1834,0.1753,0.1808,0.1775,10.87M,6.93%,3690.60,3380.00,3404.70,3644.10,26.43K,4.34%,310.42,294.00,295.97,308.81,130.15K
2017-08-12,-3.15%,0.1828,0.1704,0.1775,0.1719,13.18M,6.08%,3965.40,3590.00,3643.40,3865.50,37.66K,-0.51%,319.78,299.00,308.81,307.22,160.55K
2017-08-13,-3.37%,0.1719,0.1585,0.1719,0.1661,20.08M,4.86%,4183.70,3836.10,3866.20,4053.30,48.16K,-3.44%,308.00,285.21,307.22,296.64,166.56K
2017-08-14,0.96%,0.1801,0.165,0.1661,0.1677,10.23M,6.57%,4330.30,3969.30,4061.60,4319.50,34.22K,0.53%,306.48,293.99,296.64,298.22,106.08K
