Date,Positive Sentiment Averaged,Negative Sentiment Averaged,Overall Sentiment Averaged,Positive Sentiment Summed,Negative Sentiment Summed,Overall Sentiment Summed,Positive Sentiment RMS,Negative Sentiment RMS,Overall Sentiment RMS,XRP_Change,XRP_High,XRP_Low,XRP_Open,XRP_Price,XRP_Vol,BTC_Change,BTC_High,BTC_Low,BTC_Open,BTC_Price,BTC_Vol,ETH_Change,ETH_High,ETH_Low,ETH_Open,ETH_Price,ETH_Vol,ten day percent change,thirty day percent change,binned price
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.59,0.185,0.1585,0.163,0.1704,26820.0,-4.37,2901.6,2615.8,2854.3,2731.2,42.31,12.53,232.59,200.8,200.81,225.97,352.31,0.0,0.0,3
2017-08-02,0.1768707482993197,-0.07256235827664399,0.10430839002267571,0.1768707482993197,-0.07256235827664399,0.10430839002267571,0.1768707482993197,-0.07256235827664399,0.10430839002267571,2.46,0.18,0.168,0.1786,0.1746,11470.0,-1.07,2757.8,2640.0,2733.8,2702.0,23.76,-3.53,229.7,215.0,225.97,218.0,159.47,0.024647887323943716,0.024647887323943716,3
2017-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.57,0.1772,0.1688,0.1704,0.1736,4590.0,3.27,2813.0,2698.0,2702.0,2790.3,16.86,3.11,228.2,217.07,218.0,224.79,96.19,0.018779342723004744,0.018779342723004744,3
2017-08-04,0.1636155606407323,-0.10297482837528604,0.06064073226544625,0.1636155606407323,-0.10297482837528604,0.06064073226544625,0.1636155606407323,-0.10297482837528604,0.06064073226544625,5.99,0.17800000000000002,0.171,0.1746,0.184,7210.0,2.5,2874.8,2762.6,2790.3,2860.0,18.99,-1.81,228.3,218.66,224.79,220.73,83.46,0.07981220657276997,0.07981220657276997,3
2017-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.01,0.192,0.171,0.1736,0.1803,20380.0,13.86,3331.9,2855.0,2860.0,3256.4,50.56,15.01,259.9,219.23,220.73,253.87,234.87,0.05809859154929573,0.05809859154929573,3
2017-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,0.1898,0.1765,0.184,0.179,12150.0,-0.88,3309.8,3156.0,3255.0,3227.9,16.95,4.1,271.5,251.0,253.87,264.29,209.86,0.050469483568075096,0.050469483568075096,3
2017-08-07,0.06887052341597796,-0.09917355371900824,-0.030303030303030276,0.06887052341597796,-0.09917355371900824,-0.030303030303030276,0.06887052341597796,-0.09917355371900824,-0.030303030303030276,9.44,0.183,0.1763,0.1803,0.1959,10480.0,5.23,3440.0,3190.0,3232.5,3396.7,24.54,1.98,274.6,257.32,264.29,269.51,146.17,0.14964788732394363,0.14964788732394363,3
2017-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.38,0.2,0.1768,0.179,0.1834,31910.0,0.54,3482.9,3343.8,3395.0,3415.0,31.72,9.77,299.5,265.0,269.51,295.83,207.56,0.07629107981220665,0.07629107981220665,3
2017-08-09,0.08108108108108109,-0.08108108108108109,0.0,0.08108108108108109,-0.08108108108108109,0.0,0.08108108108108109,-0.08108108108108109,0.0,-1.42,0.1959,0.18,0.1959,0.1808,13380.0,-2.2,3424.4,3236.8,3415.0,3339.9,26.25,-0.62,316.0,277.0,295.83,293.99,400.2,0.061032863849765216,0.061032863849765216,3
2017-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,0.185,0.177,0.1834,0.1775,11260.0,2.04,3444.4,3310.0,3340.2,3407.9,19.13,0.67,310.05,287.6,293.99,295.97,155.41,0.04166666666666664,0.04166666666666664,3
2017-08-11,0.09408602150537633,-0.06720430107526881,0.026881720430107517,0.09408602150537633,-0.06720430107526881,0.026881720430107517,0.09408602150537633,-0.06720430107526881,0.026881720430107517,-3.15,0.1834,0.1753,0.1808,0.1719,10870.0,6.93,3690.6,3380.0,3404.7,3644.1,26.43,4.34,310.42,294.0,295.97,308.81,130.15,-0.015463917525773242,0.008802816901408458,3
2017-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.37,0.1828,0.1704,0.1775,0.1661,13180.0,6.08,3965.4,3590.0,3643.4,3865.5,37.66,-0.51,319.78,299.0,308.81,307.22,160.55,-0.04320276497695856,-0.025234741784037548,2
2017-08-13,0.0663157894736842,-0.18526315789473685,-0.11894736842105265,0.0663157894736842,-0.18526315789473685,-0.11894736842105265,0.0663157894736842,-0.18526315789473685,-0.11894736842105265,0.96,0.1719,0.1585,0.1719,0.1677,20080.0,4.86,4183.7,3836.1,3866.2,4053.3,48.16,-3.44,308.0,285.21,307.22,296.64,166.56,-0.08858695652173917,-0.01584507042253526,3
2017-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.78,0.1801,0.165,0.1661,0.158,10230.0,6.57,4330.3,3969.3,4061.6,4319.5,34.22,0.53,306.48,293.99,296.64,298.22,106.08,-0.12368275097060448,-0.07276995305164316,2
2017-08-15,0.7,0.0,0.7,0.7,0.0,0.7,0.7,-0.0,0.7,1.77,0.1677,0.1521,0.1677,0.1608,18860.0,-3.88,4430.0,3841.9,4321.0,4151.9,64.13,-4.1,299.91,272.29,298.22,286.0,179.77,-0.10167597765363126,-0.05633802816901407,2
2017-08-16,0.1111111111111111,-0.04444444444444445,0.06666666666666665,0.1111111111111111,-0.04444444444444445,0.06666666666666665,0.1111111111111111,-0.04444444444444445,0.06666666666666665,-1.74,0.1608,0.1486,0.158,0.158,16040.0,5.65,4403.6,3928.1,4160.0,4386.3,35.29,5.36,304.0,279.94,286.0,301.34,150.43,-0.19346605410923937,-0.07276995305164316,2
2017-08-17,0.35714285714285715,0.0,0.35714285714285715,0.35714285714285715,0.0,0.35714285714285715,0.35714285714285715,-0.0,0.35714285714285715,-0.63,0.161,0.153,0.1608,0.157,11830.0,-2.88,4489.1,4178.1,4386.4,4260.0,40.3,-0.78,312.0,297.01,301.34,299.0,133.09,-0.1439476553980371,-0.07863849765258213,2
2017-08-18,0.1111111111111111,-0.18888888888888888,-0.07777777777777778,0.1111111111111111,-0.18888888888888888,-0.07777777777777778,0.1111111111111111,-0.18888888888888888,-0.07777777777777778,-2.87,0.17,0.151,0.158,0.1525,19650.0,-3.99,4359.0,3957.0,4269.7,4090.2,46.8,-2.34,307.0,286.0,299.0,292.0,165.16,-0.15652654867256632,-0.10504694835680752,2
2017-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.162,0.14800000000000002,0.157,0.1591,14310.0,1.34,4184.1,3920.0,4088.2,4145.1,41.77,0.27,298.51,280.0,292.0,292.78,158.37,-0.10366197183098592,-0.06631455399061036,2
2017-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.56,0.1617,0.1493,0.1525,0.195,12010.0,-1.95,4192.0,4040.9,4145.0,4064.3,25.1,1.91,299.0,286.96,292.78,298.37,86.96,0.13438045375218155,0.14436619718309865,3
2017-08-21,0.3323308270676692,-0.006015037593984962,0.3263157894736842,0.3323308270676692,-0.006015037593984962,0.3263157894736842,0.3323308270676692,-0.006015037593984962,0.3263157894736842,24.1,0.2065,0.1511,0.1591,0.242,54920.0,-1.52,4093.5,3956.4,4066.3,4002.5,26.61,8.0,346.99,294.53,298.37,322.24,329.81,0.45695364238410596,0.42018779342723006,4
