Date,Positive Sentiment Averaged,Negative Sentiment Averaged,Overall Sentiment Averaged,Positive Sentiment Summed,Negative Sentiment Summed,Overall Sentiment Summed,Positive Sentiment RMS,Negative Sentiment RMS,Overall Sentiment RMS,XRP_Change,XRP_High,XRP_Low,XRP_Open,XRP_Price,XRP_Vol,BTC_Change,BTC_High,BTC_Low,BTC_Open,BTC_Price,BTC_Vol,ETH_Change,ETH_High,ETH_Low,ETH_Open,ETH_Price,ETH_Vol,RMS_box_filter,Summed_box_filter,Averaged_box_filter,ten day percent change,thirty day percent change,binned price
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.59,0.185,0.1585,0.163,0.1704,26820.0,-4.37,2901.6,2615.8,2854.3,2731.2,42.31,12.53,232.59,200.8,200.81,225.97,352.31,0.0,0.0,0.0,0.0,0.0,3
2017-08-02,0.18118466898954705,-0.0743321718931475,0.10685249709639955,0.18118466898954705,-0.0743321718931475,0.10685249709639955,0.18118466898954705,-0.0743321718931475,0.10685249709639955,2.46,0.18,0.168,0.1786,0.1746,11470.0,-1.07,2757.8,2640.0,2733.8,2702.0,23.76,-3.53,229.7,215.0,225.97,218.0,159.47,0.10685249709639955,0.10685249709639955,0.10685249709639955,0.024647887323943716,0.024647887323943716,3
2017-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.57,0.1772,0.1688,0.1704,0.1736,4590.0,3.27,2813.0,2698.0,2702.0,2790.3,16.86,3.11,228.2,217.07,218.0,224.79,96.19,0.0,0.0,0.0,0.018779342723004744,0.018779342723004744,3
2017-08-04,0.16803760282021152,-0.10575793184488837,0.06227967097532315,0.16803760282021152,-0.10575793184488837,0.06227967097532315,0.16803760282021152,-0.10575793184488837,0.06227967097532315,5.99,0.17800000000000002,0.171,0.1746,0.184,7210.0,2.5,2874.8,2762.6,2790.3,2860.0,18.99,-1.81,228.3,218.66,224.79,220.73,83.46,0.06227967097532315,0.06227967097532315,0.06227967097532315,0.07981220657276997,0.07981220657276997,3
2017-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.01,0.192,0.171,0.1736,0.1803,20380.0,13.86,3331.9,2855.0,2860.0,3256.4,50.56,15.01,259.9,219.23,220.73,253.87,234.87,0.033826433614344543,0.033826433614344543,0.033826433614344543,0.05809859154929573,0.05809859154929573,3
2017-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,0.1898,0.1765,0.184,0.179,12150.0,-0.88,3309.8,3156.0,3255.0,3227.9,16.95,4.1,271.5,251.0,253.87,264.29,209.86,0.033826433614344543,0.033826433614344543,0.033826433614344543,0.050469483568075096,0.050469483568075096,3
2017-08-07,0.07102272727272728,-0.10227272727272728,-0.03125,0.07102272727272728,-0.10227272727272728,-0.03125,0.07102272727272728,-0.10227272727272728,-0.03125,9.44,0.183,0.1763,0.1803,0.1959,10480.0,5.23,3440.0,3190.0,3232.5,3396.7,24.54,1.98,274.6,257.32,264.29,269.51,146.17,0.00620593419506463,0.00620593419506463,0.00620593419506463,0.14964788732394363,0.14964788732394363,3
2017-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.38,0.2,0.1768,0.179,0.1834,31910.0,0.54,3482.9,3343.8,3395.0,3415.0,31.72,9.77,299.5,265.0,269.51,295.83,207.56,0.00620593419506463,0.00620593419506463,0.00620593419506463,0.07629107981220665,0.07629107981220665,3
2017-08-09,0.08333333333333333,-0.08333333333333333,0.0,0.08333333333333333,-0.08333333333333333,0.0,0.08333333333333333,-0.08333333333333333,0.0,-1.42,0.1959,0.18,0.1959,0.1808,13380.0,-2.2,3424.4,3236.8,3415.0,3339.9,26.25,-0.62,316.0,277.0,295.83,293.99,400.2,-0.00625,-0.00625,-0.00625,0.061032863849765216,0.061032863849765216,3
2017-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,0.185,0.177,0.1834,0.1775,11260.0,2.04,3444.4,3310.0,3340.2,3407.9,19.13,0.67,310.05,287.6,293.99,295.97,155.41,-0.00625,-0.00625,-0.00625,0.04166666666666664,0.04166666666666664,3
2017-08-11,0.0972222222222222,-0.06944444444444442,0.027777777777777776,0.0972222222222222,-0.06944444444444442,0.027777777777777776,0.0972222222222222,-0.06944444444444442,0.027777777777777776,-3.15,0.1834,0.1753,0.1808,0.1719,10870.0,6.93,3690.6,3380.0,3404.7,3644.1,26.43,4.34,310.42,294.0,295.97,308.81,130.15,-0.0006944444444444448,-0.0006944444444444448,-0.0006944444444444448,-0.015463917525773242,0.008802816901408458,3
2017-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.37,0.1828,0.1704,0.1775,0.1661,13180.0,6.08,3965.4,3590.0,3643.4,3865.5,37.66,-0.51,319.78,299.0,308.81,307.22,160.55,0.005555555555555555,0.005555555555555555,0.005555555555555555,-0.04320276497695856,-0.025234741784037548,2
2017-08-13,0.06810810810810812,-0.19027027027027027,-0.12216216216216215,0.06810810810810812,-0.19027027027027027,-0.12216216216216215,0.06810810810810812,-0.19027027027027027,-0.12216216216216215,0.96,0.1719,0.1585,0.1719,0.1677,20080.0,4.86,4183.7,3836.1,3866.2,4053.3,48.16,-3.44,308.0,285.21,307.22,296.64,166.56,-0.018876876876876874,-0.018876876876876874,-0.018876876876876874,-0.08858695652173917,-0.01584507042253526,3
2017-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.78,0.1801,0.165,0.1661,0.158,10230.0,6.57,4330.3,3969.3,4061.6,4319.5,34.22,0.53,306.48,293.99,296.64,298.22,106.08,-0.018876876876876874,-0.018876876876876874,-0.018876876876876874,-0.12368275097060448,-0.07276995305164316,2
2017-08-15,0.7,0.0,0.7,0.7,0.0,0.7,0.7,-0.0,0.7,1.77,0.1677,0.1521,0.1677,0.1608,18860.0,-3.88,4430.0,3841.9,4321.0,4151.9,64.13,-4.1,299.91,272.29,298.22,286.0,179.77,0.12112312312312312,0.12112312312312312,0.12112312312312312,-0.10167597765363126,-0.05633802816901407,2
